DAM_ID,DAM_Type,DAM_Group,DAM_Name,DAM_Lat,DAM_Lon,DAM_URL,DAM_QMax,DAM_QStore,DAM_QUsage,DAM_ULevelMax,DAM_ULevelMin,DAM_DLevelMax,DAM_DLevelMin,DAM_CreateDate,DAM_CreateBy,DAM_UpdateDate,DAM_UpdateBy,DAM_ShowReport,provincecode,ampurcode,tamboncode,basinid
,1=?,,,,,,,,,,,,,,,,,,,,,Basin
,2=?,,> DAMRegion,,,,Unit =?,Unit =?,Unit =?,,,,,,,,,,,,,
100104,1,เหนือ,เขื่อนแม่กวงอุดมธารา,18.92348,99.12198,,295,263,249,,,,,,,10/8/2017,1,1,50000000,50140000,50140600,6
100105,1,เหนือ,เขื่อนกิ่วลม,18.5239,99.6239,,106.22,106.22,102.67,,,,,,,10/8/2017,1,1,52000000,52010000,52010900,7
100106,1,เหนือ,เขื่อนกิ่วคอหมา,18.8,99.64,,208.6,170,163.8,,,,,,,8/8/2017,1,1,52000000,52060000,52060300,7
100107,1,เหนือ,เขื่อนแควน้อยบํารุงแดน,17.023,100.327,,1080,939,896,,,,,,,8/8/2017,1,1,65000000,65070000,65070100,9
100108,1,เหนือ,เขื่อนแม่มอก,17.208187,99.423615,,110,110,94.1,,,,,11/11/2017,1,,,1,64000000,64020000,64020500,8
100201,1,ตะวันออกเฉียงเหนือ,เขื่อนห้วยหลวง,17.364,102.583,,135.57,135.57,128.98,,,,,,,8/9/2017,1,1,41000000,41020000,41020600,2
100202,1,ตะวันออกเฉียงเหนือ,เขื่อนน้ำอูน,17.3095,103.7428,,780,520,475,,,,,,,18/8/2017,1,1,47000000,47050000,47050300,2
100206,1,ตะวันออกเฉียงเหนือ,เขื่อนลำปาว,16.602594,103.441,,2450,1980,1880,,,,,,,9/8/2017,1,1,46000000,46010000,46012100,4
100207,1,ตะวันออกเฉียงเหนือ,เขื่อนลำตะคอง,14.8652,101.5604,,445,314.49,291.79,,,,,,,10/8/2017,1,1,30000000,30200000,30201000,5
100208,1,ตะวันออกเฉียงเหนือ,เขื่อนลำพระเพลิง,14.5944,101.8401,,242,155,153.6,,,,,,,10/8/2017,1,1,30000000,30140000,30140500,5
100209,1,ตะวันออกเฉียงเหนือ,เขื่อนมูลบน,14.484,102.1474,,350,141,134,,,,,,,8/8/2017,1,1,30000000,30020000,30021000,5
100210,1,ตะวันออกเฉียงเหนือ,เขื่อนลำแซะ,14.4084,102.2836,,325,275,268,,,,,,,8/8/2017,1,1,30000000,30020000,30020400,5
100211,1,ตะวันออกเฉียงเหนือ,เขื่อนลำนางรอง,14.3012,102.764,,196.67,121.41,177.96,,,,,,,10/8/2017,1,1,31000000,31200000,31200100,5
100301,1,กลาง,เขื่อนป่าสักชลสิทธิ์,14.8613,101.06615,,960,960,957,,,,,,,8/8/2017,1,1,16000000,16020000,16020700,12
100302,1,กลาง,เขื่อนทับเสลา,15.54369,99.4482,,190,160,143,,,,,,,10/8/2017,1,1,61000000,61070000,61070400,11
100303,1,กลาง,เขื่อนกระเสียว,14.835957,99.6645,,390,299,259,,,,,,,8/8/2017,1,1,72000000,72030000,72030200,13
100501,1,ตะวันออก,เขื่อนขุนด่านปราการชล,14.312,101.319,,224.9,224,219.48,,,,,,,8/8/2017,1,1,26000000,26010000,26011100,16
