Station ID,Name,Data Source,Latitude,Longitude,Old Province,New Province,Old Amphure,New Amphure,Old Tambon,New Tambon,Formatted Address
1,Klong Ladprao Bang Bua Temple,HII,13.854033,100.587265,กรุงเทพมหานคร,กรุงเทพมหานคร,จตุจักร,,แขวงเสนานิคม,เสนานิคม,เสนานิคม กรุงเทพมหานคร ประเทศไทย
2,Krung Thep 8,HII,13.7613,100.616,กรุงเทพมหานคร,กรุงเทพมหานคร,บางกะปิ,,แขวงหัวหมาก,หัวหมาก,หัวหมาก แขวงหัวหมาก เขตบางกะปิ กรุงเทพมหานคร 10240 ประเทศไทย
3,Krung Thep 9,HII,13.74071,100.79468,กรุงเทพมหานคร,กรุงเทพมหานคร,ลาดกระบัง,,แขวงลำปลาทิว,ลำปลาทิว,ลำปลาทิว เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย
4,Chao Phraya 15,HII,13.700287,100.492805,กรุงเทพมหานคร,กรุงเทพมหานคร,บางคอแหลม,,แขวงบางคอแหลม,บางคอแหลม,บางคอแหลม กรุงเทพมหานคร 10120 ประเทศไทย
5,Krung Thep 3,HII,13.79963,100.43866,กรุงเทพมหานคร,กรุงเทพมหานคร,ตลิ่งชัน,,แขวงตลิ่งชัน,ตลิ่งชัน,ตลิ่งชัน แขวงตลิ่งชัน เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย
6,,HII,13.7589,100.54,กรุงเทพมหานคร,กรุงเทพมหานคร,ราชเทวี,,แขวงถนนพญาไท,ถนนพญาไท,ถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย
7,Ministry of Science and Technology,HII,13.758857,100.540387,กรุงเทพมหานคร,กรุงเทพมหานคร,ราชเทวี,,แขวงถนนพญาไท,ถนนพญาไท,ถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย
8,Klong Ladprao Klong 2 Sai Tai,HII,13.93181,100.63951,กรุงเทพมหานคร,กรุงเทพมหานคร,สายไหม,,แขวงสายไหม,สายไหม,สายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร ประเทศไทย
9,,HII,13.854105,100.587494,กรุงเทพมหานคร,กรุงเทพมหานคร,จตุจักร,,แขวงเสนานิคม,เสนานิคม,เสนานิคม กรุงเทพมหานคร ประเทศไทย
10,Krung Thep 5,HII,13.6916,100.38129,กรุงเทพมหานคร,กรุงเทพมหานคร,หนองแขม,,แขวงหนองแขม,หนองแขม,หนองแขม แขวงหนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย
11,Krung Thep 1,HII,13.92243,100.63437,กรุงเทพมหานคร,กรุงเทพมหานคร,สายไหม,,แขวงสายไหม,สายไหม,สายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร ประเทศไทย
12,,HII,13.931777,100.639522,กรุงเทพมหานคร,กรุงเทพมหานคร,สายไหม,,แขวงสายไหม,สายไหม,สายไหม แขวงสายไหม เขตสายไหม กรุงเทพมหานคร ประเทศไทย
13,Nawamintrachinuthit Benjamarachalai School,HII,13.8903,100.6934,กรุงเทพมหานคร,กรุงเทพมหานคร,คลองสามวา,,แขวงสามวาตะวันตก,สามวาตะวันตก,สามวาตะวันตก แขวงสามวาตะวันตก เขตคลองสามวา กรุงเทพมหานคร 10510 ประเทศไทย
14,Krung Thep 4,HII,13.7956,100.33194,กรุงเทพมหานคร,กรุงเทพมหานคร,ทวีวัฒนา,,แขวงศาลาธรรมสพน์,ศาลาธรรมสพน์,ศาลาธรรมสพน์ แขวงศาลาธรรมสพน์ เขตทวีวัฒนา กรุงเทพมหานคร 10170 ประเทศไทย
15,Krung Thep 11,HII,13.691816,100.866544,สมุทรปราการ,สมุทรปราการ,บางบ่อ,อำเภอบางบ่อ,ตำบลเปร็ง,เปร็ง,เปร็ง อำเภอบางบ่อ สมุทรปราการ ประเทศไทย
16,Phra Ong Chao Chiayanuchit Canal,HII,13.656908,100.866269,สมุทรปราการ,สมุทรปราการ,บางบ่อ,อำเภอบางบ่อ,ตำบลบางบ่อ,บางบ่อ,บางบ่อ อำเภอบางบ่อ สมุทรปราการ ประเทศไทย
17,Chulachomklao Fortress,HII,13.573791,100.573975,สมุทรปราการ,สมุทรปราการ,พระสมุทรเจดีย์,อำเภอพระสมุทรเจดีย์,ตำบลแหลมฟ้าผ่า,แหลมฟ้าผ่า,แหลมฟ้าผ่า อำเภอพระสมุทรเจดีย์ สมุทรปราการ ประเทศไทย
18,Laem Fa Pha,HII,13.54701,100.53758,สมุทรปราการ,สมุทรปราการ,พระสมุทรเจดีย์,อำเภอพระสมุทรเจดีย์,ตำบลแหลมฟ้าผ่า,แหลมฟ้าผ่า,แหลมฟ้าผ่า อำเภอพระสมุทรเจดีย์ สมุทรปราการ ประเทศไทย
19,Krung Thep 12,HII,13.58913,100.80249,สมุทรปราการ,สมุทรปราการ,บางเสาธง,อำเภอบางเสาธง,ตำบลบางเสาธง,บางเสาธง,บางเสาธง อำเภอบางเสาธง สมุทรปราการ ประเทศไทย
20,Sisa Chorakhe Noi,HII,13.67773,100.79448,สมุทรปราการ,สมุทรปราการ,บางเสาธง,อำเภอบางเสาธง,ตำบลศีรษะจรเข้น้อย,ศีรษะจรเข้น้อย,ศีรษะจรเข้น้อย ตำบล ศีรษะจรเข้น้อย อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย
21,Sri Varee Noi Temple,HII,13.66943,100.80058,สมุทรปราการ,สมุทรปราการ,บางเสาธง,อำเภอบางเสาธง,ตำบลศีรษะจรเข้น้อย,ศีรษะจรเข้น้อย,ศีรษะจรเข้น้อย ตำบล ศีรษะจรเข้น้อย อำเภอบางเสาธง สมุทรปราการ 10540 ประเทศไทย
22,Nanthawan Village,HII,13.82286,100.437,นนทบุรี,นนทบุรี,บางกรวย,อำเภอบางกรวย,ตำบลบางขุนกอง,บางขุนกอง,บางขุนกอง อำเภอบางกรวย นนทบุรี 11130 ประเทศไทย
24,Phra Pimol Sai Noi,HII,13.97401,100.31902,นนทบุรี,นนทบุรี,ไทรน้อย,อำเภอไทรน้อย,ตำบลไทรน้อย,ไทรน้อย,ไทรน้อย ตำบลไทรน้อย อำเภอไทรน้อย นนทบุรี 11150 ประเทศไทย
25,Rajniyom,HII,14.10388,100.3221,นนทบุรี,นนทบุรี,ไทรน้อย,อำเภอไทรน้อย,ตำบลราษฎร์นิยม,ราษฎร์นิยม,ราษฎร์นิยม อำเภอไทรน้อย นนทบุรี ประเทศไทย
26,Chao Phraya 14,HII,13.947525,100.535034,ปทุมธานี,ปทุมธานี,เมืองปทุมธานี,อำเภอเมืองปทุมธานี,ตำบลบางขะแยง,บางขะแยง,บางขะแยง อำเภอเมืองปทุมธานี ปทุมธานี 12000 ประเทศไทย
27,Krung Thep 2,HII,13.96562,100.60259,ปทุมธานี,ปทุมธานี,เมืองปทุมธานี,อำเภอเมืองปทุมธานี,ตำบลหลักหก,หลักหก,หลักหก อำเภอเมืองปทุมธานี ปทุมธานี ประเทศไทย
28,Rangsit Khlong 7,HII,14.1911,100.75422,ปทุมธานี,ปทุมธานี,คลองหลวง,อำเภอคลองหลวง,ตำบลคลองเจ็ด,คลองเจ็ด,คลองเจ็ด ตำบล คลองเจ็ด อำเภอคลองหลวง ปทุมธานี ประเทศไทย
29,Rabibadhana West Section,HII,14.206145,100.744804,ปทุมธานี,ปทุมธานี,คลองหลวง,อำเภอคลองหลวง,ตำบลคลองเจ็ด,คลองเจ็ด,คลองเจ็ด ตำบล คลองเจ็ด อำเภอคลองหลวง ปทุมธานี ประเทศไทย
31,Future Park Rangsit,HII,13.986156,100.62624,ปทุมธานี,ปทุมธานี,ธัญบุรี,อำเภอธัญบุรี,ตำบลประชาธิปัตย์,ประชาธิปัตย์,ประชาธิปัตย์ ตำบล ประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี ประเทศไทย
34,Khlong 13 Bridge,HII,14.076805,100.89407,ปทุมธานี,ปทุมธานี,ธัญบุรี,อำเภอธัญบุรี,ตำบลบึงน้ำรักษ์,บึงน้ำรักษ์,บึงน้ำรักษ์ ตำบล บึงน้ำรักษ์ อำเภอธัญบุรี ปทุมธานี ประเทศไทย
35,Ban Noi Sawang,HII,14.16511,100.77863,ปทุมธานี,ปทุมธานี,หนองเสือ,อำเภอ หนองเสือ,ตำบลบึงชำอ้อ,บึงชำอ้อ,บึงชำอ้อ อำเภอ หนองเสือ ปทุมธานี 12170 ประเทศไทย
36,Rabibadhana Nong Suea,HII,14.22058,100.8917,ปทุมธานี,ปทุมธานี,หนองเสือ,อำเภอ หนองเสือ,ตำบลศาลาครุ,ศาลาครุ,ศาลาครุ อำเภอ หนองเสือ ปทุมธานี ประเทศไทย
37,Lam Luk Ka Klong8,HII,13.94162,100.77497,ปทุมธานี,ปทุมธานี,ลำลูกกา,อำเภอลำลูกกา,ตำบลลำลูกกา,ลำลูกกา,ลำลูกกา อำเภอลำลูกกา ปทุมธานี 12150 ประเทศไทย
38,,HII,13.9609,100.895,ปทุมธานี,ปทุมธานี,ลำลูกกา,อำเภอลำลูกกา,ตำบลพืชอุดม,พืชอุดม,พืชอุดม อำเภอลำลูกกา ปทุมธานี ประเทศไทย
39,Chao Phraya 11,HII,14.36914,100.5286,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,พระนครศรีอยุธยา,อำเภอ พระนครศรีอยุธยา,ตำบลบ้านป้อม,บ้านป้อม,บ้านป้อม อำเภอ พระนครศรีอยุธยา จังหวัดพระนครศรีอยุธยา ประเทศไทย
40,Pa Sak 8,HII,14.56018,100.7199,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,ท่าเรือ,อำเภอ ท่าเรือ,ตำบลท่าเรือ,ท่าเรือ,ท่าเรือ อำเภอ ท่าเรือ จังหวัดพระนครศรีอยุธยา ประเทศไทย
43,Nong Khanak,HII,14.51421,100.73521,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,ท่าเรือ,อำเภอ ท่าเรือ,ตำบลหนองขนาก,หนองขนาก,หนองขนาก อำเภอ ท่าเรือ จังหวัดพระนครศรีอยุธยา ประเทศไทย
44,Pa Sak 9,HII,14.40269,100.58636,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,นครหลวง,อำเภอนครหลวง,ตำบลบ่อโพง,บ่อโพง,บ่อโพง อำเภอนครหลวง จังหวัดพระนครศรีอยุธยา ประเทศไทย
45,Bang Sai,HII,14.21267,100.4981,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,บางไทร,อำเภอบางไทร,ตำบลบางไทร,บางไทร,บางไทร อำเภอบางไทร จังหวัดพระนครศรีอยุธยา 13190 ประเทศไทย
46,Chao Phraya 13,HII,14.11822,100.53533,ปทุมธานี,ปทุมธานี,สามโคก,อำเภอสามโคก,ตำบลท้ายเกาะ,ท้ายเกาะ,ท้ายเกาะ อำเภอสามโคก ปทุมธานี 12160 ประเทศไทย
47,Chao Phraya 10,HII,14.42307,100.48184,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,บางบาล,อำเภอ บางบาล,ตำบลบางบาล,บางบาล,บางบาล อำเภอ บางบาล จังหวัดพระนครศรีอยุธยา 13250 ประเทศไทย
48,Chao Phraya 9,HII,14.41584,100.44073,พระนครศรีอยุธยา,จังหวัดพระนครศรีอยุธยา,บางบาล,อำเภอ บางบาล,ตำบลบางหลวงโดด,บางหลวงโดด,บางหลวงโดด อำเภอ บางบาล จังหวัดพระนครศรีอยุธยา 13250 ประเทศไทย
