Station ID,Station Name,River Name,Province,Amphure
"G.12","บ้านใหม่ริมฝาง","น้ำฝาง","เชียงใหม่","ฝาง"
"G.14","สะพานบ้านคาย","น้ำฝาง","เชียงใหม่","แม่อาย"
"G.2A","บ้านกกโถ้ง","น้ำแม่กก","เชียงราย","เมืองเชียงราย"
"G.4","บ้านปางริมกรณ์","น้ำแม่กรณ์","เชียงราย","เมืองเชียงราย"
"G.8A","บ้านร่องขุ่น","น้ำแม่ลาว","เชียงราย","เมืองเชียงราย"
"I.14","บ้านน้ำอิง","น้ำอิง","เชียงราย","ขุนตาล"
"I.1A","บ้านวัดศรีจอมเรือง","อิง","พะเยา","เมืองพะเยา"
"I.6","บ้านน้ำแวน","น้ำแวน","พะเยา","เชียงคำ"
"N.63","บ้านหัวเมือง","น้ำแหง","น่าน","นาน้อย"
"N.86","บ้านหนองแดง","น้ำน่าน","น่าน","เชียงกลาง"
"N.87","บ้านภูแยง","น้ำมวบ","น่าน","สันติสุข"
"N.88","บ้านกลาง","น้ำสา","น่าน","เวียงสา"
"P.104","บ้านเกาะกลาง","แม่น้ำปิง","เชียงใหม่","สารภี"
"P.105","บ้านสวนหลวง","น้ำแม่ขนาด","ลำพูน","แม่ทา"
"P.14","แก่งออบหลวง","น้ำแม่แจ่ม","เชียงใหม่","ฮอด"
"P.24D","บ้านหลวงใต้","น้ำแม่กลาง","เชียงใหม่","จอมทอง"
"P.85A","บ้านหล่ายแก้ว","น้ำแม่ลี้","ลำพูน","บ้านโฮ่ง"
"P.90","บ้านทับเดื่อ","แม่น้ำปิง","เชียงใหม่","แม่แตง"
"P.92A","บ้านห้วยป่าซาง","น้ำแม่แตง","เชียงใหม่","แม่แตง"
"P.94","บ้านเจียง","น้ำแม่แจ่ม","เชียงใหม่","แม่แจ่ม"
"Y.36","บ้านป่าคา","น้ำควร","พะเยา","ปง"
"Y.37A","บ้านวังชิ้น","แม่น้ำยม","แพร่","วังชิ้น"
"Y.66","บ้านวังดิน","แม่น้ำยม","แพร่","สอง"
"Y.67","บ้านหนุนใต้","แม่น้ำยม","แพร่","สอง"
"N.8","บ้านบางมูลนาก","แม่น้ำน่าน","พิจิตร","บางมูลนาก"
"N.28A","บ้านนากล่ำ","คลองตรอน","อุตรดิตถ์","น้ำปาด"
"N.40","บ้านหนองบอน","แม่น้ำแควน้อย","พิษณุโลก","วัดโบสถ์"
"N.58","บ้านกกม่วง","น้ำเฟื้อ","พิษณุโลก","นครไทย"
"N.59","บ้านนาโพธิ์นาจาน","น้ำคาน","พิษณุโลก","นครไทย"
"N.62","บ้านห้วยท่าเนื้อ","น้ำคลึง","พิษณุโลก","ชาติตระการ"
"N.66","บ้านเนินเพิ่ม","ห้วยออมสิงห์","พิษณุโลก","นครไทย"
"N.68","ท่าตะเคียน","แม่น้ำน่าน","พิษณุโลก","เมืองพิษณุโลก"
"N.69","บ้านนาทุ่งใหญ่","แม่น้ำแควน้อย","พิษณุโลก","นครไทย"
"N.70","บ้านโคกผักหวาน","ห้วยน้ำคับ","พิษณุโลก","ชาติตระการ"
"N.72","บ้านวังปรากฏ","คลองตรอน","อุตรดิตถ์","ทองแสงขัน"
"N.74","บ้านบางกระทุ่ม","แม่น้ำน่าน","พิษณุโลก","บางกระทุ่ม"
"N.82","บ้านแก่งทรายงาม","ห้วยน้ำรี","อุตรดิตถ์","ท่าปลา"
"N.83","บ้านกิ๋วเคียน","ห้วยน้ำรี","อุตรดิตถ์","ท่าปลา"
"Y.5","หน้าอำเภอโพทะเล","แม่น้ำยม","พิจิตร","โพทะเล"
"Y.6","บ้านแก่งหลวง","แม่น้ำยม","สุโขทัย","ศรีสัชนาลัย"
"Y.29","บ้านแม่ฮู้","ห้วยแม่ฮู้","สุโขทัย","ศรีสัชนาลัย"
"Y.40","หน้าวัดคงคาราม","แม่น้ำยม","พิจิตร","โพทะเล"
"Y.42","ท่าตะคล้อ","แม่น้ำยม","พิจิตร","โพธิ์ประทับช้าง"
"S.10","บ้านหินฮาว","ห้วยน้ำพุง","เพชรบูรณ์","หล่มเก่า"
"S.17","บ้านฝายวังบน","ห้วยน้ำชุน","เพชรบูรณ์","หล่มสัก"
"S.36","บ้านโนนทอง","แม่น้ำป่าสัก","เพชรบูรณ์","หล่มสัก"
"E.5","บ้านโนนเปลือย","แม่น้ำชี","ชัยภูมิ","บ้านเขว้า"
"E.6C","บ้านตาดโตน","ลำปะทาว","ชัยภูมิ","เมืองชัยภูมิ"
"E.29A","บ้านผานกเค้า","ลำน้ำพอง","เลย","ภูกระดึง"
"E.32A","บ้านหนองอ้อ","แม่น้ำชี","ชัยภูมิ","บ้านเขว้า"
"E.54","บ้านกุดฉิมคุ้มใหญ่","ลำน้ำยัง","กาฬสินธุ์","กุฉินารายณ์"
"E.57A","บ้านสมสนุก","น้ำยัง","กาฬสินธุ์","เขาวง"
"E.64A","บ้านนาแก","ลำพะเนียง","หนองบัวลำภู","นาวัง"
"E.65","บ้านท่าไฮ","ลำปาว","อุดรธานี","ศรีธาตุ"
"E.67","บ้านท่างาม","ลำพันชาด","กาฬสินธุ์","สามชัย"
"E.68A","บ้านข้องโป้","ลำพะเนียง","หนองบัวลำภู","เมืองหนองบัวลำภู"
"E.70","บ้านกุดก่วง","ลำน้ำยัง","ร้อยเอ็ด","โพนทอง"
"E.72","บ้านเจียง","ลำเจียง","ชัยภูมิ","ภักดีชุมพล"
"E.73A","บ้านวังตะกู","ลำเจา","ชัยภูมิ","ภักดีชุมพล"
"E.76A","บ้านโพน","ห้วยสังกะ","กาฬสินธุ์","คำม่วง"
"E.83","บ้านนาเจริญ","ลำสะพุง","ชัยภูมิ","หนองบัวแดง"
"E.79A","บ้านอีเลิศ","ลำพองโก","เลย","ภูกระดึง"
"E.84","บ้านนางแดดโคก","แม่น้ำชี","ชัยภูมิ","หนองบัวแดง"
"E.85","บ้านโนนหัน","น้ำเชิญ","ขอนแก่น","ชุมแพ"
"E.88","บ้านดงสวรรค์","ห้วยมูล","กาฬสินธุ์","ท่าคันโท"
"E.89","บ้านหนองริวหนัง","ห้วยลำหนองแสง","กาฬสินธุ์","หนองกรุงศรี"
"E.90","บ้านเนินยางใต้","ห้วยสังเคียบ","กาฬสินธุ์","คำม่วง"
"E.93","บ้านยาง","น้ำพรม","ชัยภูมิ","เกษตรสมบูรณ์"
"KH.9A","บ้านหนองศาลา","น้ำก่ำ","สกลนคร","โพนนาแก้ว"
"KH.18","บ้านนาอ่าง","ห้วยโมง","อุดรธานี","บ้านผือ"
"KH.28A","สะพานบ้านนาหลัก","แม่น้ำเลย","เลย","วังสะพุง"
"KH.53","บ้านหนองวัวซอ","ห้วยหลวง","อุดรธานี","หนองวัวซอ"
"KH.54","บ้านนาหว้า","น้ำอูน","นครพนม","นาหว้า"
"KH.58A","บ้านฟากเลย","แม่น้ำเลย","เลย","เมืองเลย"
"KH.61","บ้านแก่งบง","แม่น้ำเลย","เลย","ภูหลวง"
"KH.74","บ้านท่าห้วยหลัว","น้ำสงคราม","สกลนคร","บ้านม่วง"
