ลำดับที่,สำนักงานชลประทาน,สถานี,ชื่อสถานี,Code,ลุ่มน้ำ,แม่น้ำ,อำเภอ,จังหวัด,"ระดับตลิ่ง
(เมตร)","ความจุฯ
ลบ.ม/วิ","ศูนย์เสาระดับ
ม.(ร.ท.ก.)"
1,สำนักงานชลประทานที่ 2,G.10,บ้านหนองผำ,,ลุ่มน้ำกก,น้ำแม่ลาว,แม่สรวย,เชียงราย,3.5,266.3,433.47
2,สำนักงานชลประทานที่ 2,G.11,บ้านดอนสลี,,ลุ่มน้ำกก,น้ำแม่ลาว,แม่สรวย,เชียงราย,,,
3,สำนักงานชลประทานที่ 1,G.12,บ้านใหม่ริมฝาง,,ลุ่มน้ำกก,น้ำฝาง,ฝาง,เชียงใหม่,,,
4,สำนักงานชลประทานที่ 1,G.13,สะพานบ้านแม่ข่า,,ลุ่มน้ำกก,น้ำฝาง,ฝาง,เชียงใหม่,,,
5,สำนักงานชลประทานที่ 1,G.14,สะพานบ้านคาย,,ลุ่มน้ำกก,น้ำฝาง,แม่อาย,เชียงใหม่,,,
6,สำนักงานชลประทานที่ 2,G.2A,บ้านกกโถ้ง,,ลุ่มน้ำกก,น้ำแม่กก,เมืองเชียงราย,เชียงราย,,,
7,สำนักงานชลประทานที่ 2,G.4,บ้านปางริมกรณ์,,ลุ่มน้ำกก,น้ำแม่กรณ์,เมืองเชียงราย,เชียงราย,,,
8,สำนักงานชลประทานที่ 2,G.8,บ้านต้นยาง,,ลุ่มน้ำกก,น้ำแม่ลาว,แม่ลาว,เชียงราย,4.0,186.5,405.1
9,สำนักงานชลประทานที่ 2,G.8A,บ้านร่องขุ่น,,ลุ่มน้ำกก,น้ำแม่ลาว,เมืองเชียงราย,เชียงราย,,,
10,สำนักงานชลประทานที่ 2,G.9,บ้านกระเหรี่ยงทุ่งพร้าว,,ลุ่มน้ำกก,น้ำแม่สรวย,แม่สรวย,เชียงราย,,,
11,สำนักงานชลประทานที่ 2,I.14,บ้านน้ำอิง,,ลุ่มน้ำอิง,น้ำอิง,ขุนตาล,เชียงราย,,,
12,สำนักงานชลประทานที่ 2,I.17,เจดีย์งาม,,ลุ่มน้ำอิง,น้ำอิง,เมืองพะเยา,พะเยา,,,
13,สำนักงานชลประทานที่ 2,I.1A,บ้านวัดศรีจอมเรือง,,ลุ่มน้ำอิง,อิง,เมืองพะเยา,พะเยา,,,
14,สำนักงานชลประทานที่ 2,I.6,บ้านน้ำแวน,,ลุ่มน้ำอิง,น้ำแวน,เชียงคำ,พะเยา,,,
15,สำนักงานชลประทานที่ 2,Kh.72,บ้านแม่คำหลักเจ็ด,,น้ำแม่คำ,น้ำแม่คำ,แม่จัน,เชียงราย,,,
16,สำนักงานชลประทานที่ 2,Kh.89,บ้านหัวสะพาน,,น้ำแม่คำ,น้ำแม่จัน,แม่จัน,เชียงราย,,,
17,สำนักงานชลประทานที่ 2,N.1,หน้าสำนักงานป่าไม้,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เมือง,น่าน,7.0,1076.0,192.2
18,สำนักงานชลประทานที่ 2,N.13A,บ้านไผ่งาม,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เวียงสา,น่าน,6.5,1710.0,177.4
19,สำนักงานชลประทานที่ 2,N.49,บ้านน้ำยาว,,ลุ่มน้ำน่าน,น้ำยาว,ปัว,น่าน,,,
20,สำนักงานชลประทานที่ 2,N.63,บ้านหัวเมือง,,ลุ่มน้ำน่าน,น้ำแหง,นาน้อย,น่าน,,,
21,สำนักงานชลประทานที่ 2,N.64,บ้านผาขวาง,,ลุ่มน้ำน่าน,แม่น้ำน่าน,เมืองน่าน,น่าน,9.5,957.0,210.9
22,สำนักงานชลประทานที่ 2,N.65,บ้านปางสา,,ลุ่มน้ำน่าน,ห้วยน้ำยาว,ท่าวังผา,น่าน,,,
23,สำนักงานชลประทานที่ 2,N.75,สะพานท่าลี่,,ลุ่มน้ำน่าน,น้ำว้า,เวียงสา,น่าน,,,
24,สำนักงานชลประทานที่ 2,N.86,บ้านหนองแดง,,ลุ่มน้ำน่าน,น้ำน่าน,เชียงกลาง,น่าน,,,
25,สำนักงานชลประทานที่ 2,N.87,บ้านภูแยง,,ลุ่มน้ำน่าน,น้ำมวบ,สันติสุข,น่าน,,,
26,สำนักงานชลประทานที่ 2,N.88,บ้านกลาง,,ลุ่มน้ำน่าน,น้ำสา,เวียงสา,น่าน,,,
27,สำนักงานชลประทานที่ 1,P.1,สะพานนวรัฐ,,ลุ่มน้ำปิง,แม่น้ำปิง,เมืองเชียงใหม่,เชียงใหม่,,,
28,สำนักงานชลประทานที่ 1,P.103,บ้านป่าข่อยใต้,,ลุ่มน้ำปิง,แม่น้ำปิง,เมือง,เชียงใหม่,3.7,405.0,300.5
29,สำนักงานชลประทานที่ 1,P.104,บ้านเกาะกลาง,,ลุ่มน้ำปิง,แม่น้ำปิง,สารภี,เชียงใหม่,,,
30,สำนักงานชลประทานที่ 1,P.105,บ้านสวนหลวง,,ลุ่มน้ำปิง,น้ำแม่ขนาด,แม่ทา,ลำพูน,,,
31,สำนักงานชลประทานที่ 1,P.14,แก่งออบหลวง,,ลุ่มน้ำปิง,น้ำแม่แจ่ม,ฮอด,เชียงใหม่,,,
32,สำนักงานชลประทานที่ 1,P.14A,น้ำแม่แจ่ม,,ลุ่มน้ำปิง,น้ำแม่แจ่ม,จอมทอง,เชียงใหม่,,,
33,สำนักงานชลประทานที่ 1,P.20,บ้านเชียงดาว,,ลุ่มน้ำปิง,แม่น้ำปิง,เชียงดาว,เชียงใหม่,2.5,215.0,379.9
